location,time,plot,treatment,position,meters,x,y,z
nmb,t1,33,NMB,1,-5,146362.6,583703.315,-0.746
nmb,t1,33,NMB,2,-1,146361.241,583710.997,-0.568
nmb,t1,33,NMB,3,-0.1,146352.473,583738.985,-0.506
nmb,t1,33,NMB,4,0,146355.787,583738.794,-0.558
nmb,t1,33,NMB,5,0.1,146353.909,583738.849,-0.536
nmb,t1,33,NMB,6,1,146354.808,583741.382,-0.54
nmb,t1,33,NMB,7,5,146354.527,583746.649,-0.528
nmb,t1,33,NMB,8,15,146351.901,583756.745,-0.576
nmb,t1,33,NMB,9,25,146348.831,583766.709,-0.565
nmb,t1,33,NMB,10,35,146345.409,583775.983,-0.539
nmb,t1,33,NMB,11,45,146342.747,583786.561,-0.514
nmb,t1,33,NMB,12,55,146340.104,583796.013,-0.516
nmb,t1,34,NMB,1,-5,146374.037,583709.413,-0.774
nmb,t1,34,NMB,2,-1,146366.181,583713.287,-0.788
nmb,t1,34,NMB,3,-0.1,146335.605,583727.009,-0.491
nmb,t1,34,NMB,4,0,146336.868,583729.354,-0.574
nmb,t1,34,NMB,5,0.1,146336.107,583728.104,-0.547
nmb,t1,34,NMB,6,1,146333.623,583728.962,-0.583
nmb,t1,34,NMB,7,5,146329.33,583732.394,-0.613
nmb,t1,34,NMB,8,15,146322.204,583738.447,-0.622
nmb,t1,34,NMB,9,25,146316.153,583744.383,-0.615
nmb,t1,34,NMB,10,35,146309.762,583749.948,-0.619
nmb,t1,34,NMB,11,45,146303.336,583754.775,-0.621
nmb,t1,34,NMB,12,55,146296.547,583759.18,-0.603
nmb,t1,35,NMB,1,-5,146346.503,583674.58,-0.834
nmb,t1,35,NMB,2,-1,146344.199,583677.9,-0.847
nmb,t1,35,NMB,3,-0.1,146319.183,583711.875,-0.523
nmb,t1,35,NMB,4,0,146321,583713.765,-0.615
nmb,t1,35,NMB,5,0.1,146322.126,583714.869,-0.633
nmb,t1,35,NMB,6,1,146319.414,583715.563,-0.609
nmb,t1,35,NMB,7,5,146316.866,583719.03,-0.648
nmb,t1,35,NMB,8,15,146311.818,583726.126,-0.646
nmb,t1,35,NMB,9,25,146307.076,583734.419,-0.656
nmb,t1,35,NMB,10,35,146302.427,583743.068,-0.668
nmb,t1,35,NMB,11,45,146298.122,583750.655,-0.661
nmb,t1,35,NMB,12,55,146295.03,583758.8,-0.644
nmb,t1,36,NMB,1,-5,146343.094,583673.335,-0.846
nmb,t1,36,NMB,2,-1,146340.72,583677.093,-0.846
nmb,t1,36,NMB,3,-0.1,146313.032,583706.578,-0.573
nmb,t1,36,NMB,4,0,146314.143,583707.804,-0.607
nmb,t1,36,NMB,5,0.1,146312.044,583705.613,-0.62
nmb,t1,36,NMB,6,1,146310.934,583707.834,-0.635
nmb,t1,36,NMB,7,5,146308.345,583710.986,-0.655
nmb,t1,36,NMB,8,15,146302.566,583718.22,-0.67
nmb,t1,36,NMB,9,25,146296.594,583725.483,-0.675
nmb,t1,36,NMB,10,35,146291.621,583732.901,-0.662
nmb,t1,36,NMB,11,45,146287.034,583740.883,-0.635
nmb,t1,36,NMB,12,55,146282.917,583748.524,-0.624
nmb,t1,37,control,1,-5,146154.61,583702.122,-0.648
nmb,t1,37,control,2,-1,146150.94,583706.407,-0.635
nmb,t1,37,control,3,-0.1,146148.179,583705.25,-0.568
nmb,t1,37,control,4,0,146149.937,583707.194,-0.606
nmb,t1,37,control,5,0.1,146151.506,583708.737,-0.633
nmb,t1,37,control,6,1,146148.551,583708.551,-0.62
nmb,t1,37,control,7,5,146145.249,583711.584,-0.616
nmb,t1,37,control,8,15,146138.626,583718.046,-0.601
nmb,t1,37,control,9,25,146133.311,583725.012,-0.587
nmb,t1,37,control,10,35,146127.562,583732.204,-0.592
nmb,t1,37,control,11,45,146120.521,583739.796,-0.559
nmb,t1,37,control,12,55,146115.238,583746.478,-0.56
nmb,t1,38,control,1,-5,146133.328,583684.439,-0.645
nmb,t1,38,control,2,-1,146131.057,583687.882,-0.639
nmb,t1,38,control,3,-0.1,146127.486,583688.319,-0.575
nmb,t1,38,control,4,0,146131.376,583690.989,-0.617
nmb,t1,38,control,5,0.1,146129.517,583689.576,-0.635
nmb,t1,38,control,6,1,146127.433,583692.358,-0.61
nmb,t1,38,control,7,5,146123.092,583697.835,-0.615
nmb,t1,38,control,8,15,146116.551,583706.11,-0.619
nmb,t1,38,control,9,25,146110.44,583713.592,-0.599
nmb,t1,38,control,10,35,146104.894,583720.512,-0.576
nmb,t1,38,control,11,45,146099.436,583727.337,-0.749
nmb,t1,38,control,12,55,146092.781,583735.372,-0.543
nmb,t1,39,control,1,-5,146105.462,583663.532,-0.637
nmb,t1,39,control,2,-1,146103.286,583667.468,-0.656
nmb,t1,39,control,3,-0.1,146104.988,583670.557,-0.576
nmb,t1,39,control,4,0,146100.599,583667.494,-0.605
nmb,t1,39,control,5,0.1,146102.481,583668.886,-0.655
nmb,t1,39,control,6,1,146101.485,583671.099,-0.65
nmb,t1,39,control,7,5,146099.437,583674.733,-0.636
nmb,t1,39,control,8,15,146094.95,583682.52,-0.644
nmb,t1,39,control,9,25,146089.598,583690.716,-0.638
nmb,t1,39,control,10,35,146083.631,583698.786,-0.6
nmb,t1,39,control,11,45,146078.736,583706.626,-0.57
nmb,t1,39,control,12,55,146073.747,583715.629,-0.543
nmb,t1,40,control,1,-5,146091.807,583656.428,-0.655
nmb,t1,40,control,2,-1,146090.16,583659.485,-0.668
nmb,t1,40,control,3,-0.1,146091.347,583662.341,-0.573
nmb,t1,40,control,4,0,146086.942,583659.886,-0.642
nmb,t1,40,control,5,0.1,146088.906,583660.841,-0.659
nmb,t1,40,control,6,1,146088.55,583661.955,-0.652
nmb,t1,40,control,7,5,146086.917,583664.911,-0.628
nmb,t1,40,control,8,15,146082.876,583671.155,-0.648
nmb,t1,40,control,9,25,146076.964,583679.701,-0.602
nmb,t1,40,control,10,35,146070.848,583688.244,-0.56
nmb,t1,40,control,11,45,146064.85,583696.476,-0.554
nmb,t1,40,control,12,55,146058.693,583705.067,-0.525
